headlines,sentiments,page,president
Virus hammers China's February economic activity,Sad, Page: 23,Duterte
Global economy wavers as world comes to standstill amid epidemic,Afraid, Page: 23,Duterte
Can the Fed protect U.S. economy against virus impact?,Inspired, Page: 23,Duterte
"IMF, World Bank funds ready to fight virus outbreak",Happy, Page: 24,Duterte
World Bank to attack poverty in conflict zones,Happy, Page: 24,Duterte
"UK rejects EU trade demands, threatens to walk away",Annoyed, Page: 24,Duterte
"Gov't spends big in December, lifting 2019 expenditures above target",Happy, Page: 24,Duterte
Hong Kong to give big cash handouts as economy reels from virus,Afraid, Page: 24,Duterte
Trump economic advisor sees no U.S. recession ahead,Happy, Page: 24,Duterte
Italy's fragile economy strained by coronavirus measures,Sad, Page: 24,Duterte
Coronavirus to have 'minimal effect' on OFW remittances in 2020,Happy, Page: 24,Duterte
Novel coronavirus puts 'fragile' global recovery at risk – IMF to G20,Happy, Page: 24,Duterte
Saudi G20 gathering weighs coronavirus threat to global economy,Afraid, Page: 24,Duterte
"Makati Business Club: 'Strong' U.S. ties important for PH economy, security",Happy, Page: 25,Duterte
China cuts loan rate as it battles coronavirus impact,People are divided, Page: 25,Duterte
IMF warns China virus hitting a fragile global economy,People are divided, Page: 25,Duterte
Chinatowns the world over feel brunt of virus panic,Happy, Page: 25,Duterte
OFW remittances hit record high of $33.5 billion in 2019,Happy, Page: 25,Duterte
Singapore lowers growth forecast as virus hits economy,Sad, Page: 25,Duterte
Japan suffers worst economic slump in 5 years,Amused, Page: 25,Duterte
Novel coronavirus could damage global growth in 2020 – IMF,Afraid, Page: 25,Duterte
Hong Kong unveils cash handouts as virus deepens economic woes,Sad, Page: 25,Duterte
Global economy losing $8 billion daily to air pollution from fossil fuels – Greenpeace,Sad, Page: 25,Duterte
China virus threatens to hobble Gulf economies,Angry, Page: 26,Duterte
"Despite political risks, Fitch Ratings raises outlook for Philippines",Happy, Page: 26,Duterte
Foreign direct investments fall by 30% in January-November 2019,Angry, Page: 26,Duterte
China inflation rises as coronavirus disrupts supply chains,Happy, Page: 26,Duterte
"With Taal Lake off limits, Batangas highlights other tourist spots to lift economy",Happy, Page: 26,Duterte
"To boost economy, Bangko Sentral cuts interest rates by 25 basis points",Happy, Page: 26,Duterte
"Venezuela 2019 inflation close to 10,000%, says central bank",Sad, Page: 26,Duterte
Coronavirus is 'new layer of uncertainty' for European economy,Afraid, Page: 26,Duterte
China's stuttering economy braces for impact of deadly virus,Afraid, Page: 26,Duterte
World Bank to lower global growth forecast over virus outbreak,People are divided, Page: 26,Duterte
Inflation inches up to 2.9% in January 2020,Angry, Page: 27,Duterte
Novel coronavirus could also sicken global economy,Amused, Page: 27,Duterte
Hong Kong economy shrinks for first time in a decade,Sad, Page: 27,Duterte
Chinese central bank to pump $173 billion into economy in virus fight,Afraid, Page: 27,Duterte
Finance team says PH economy 'can handle' coronavirus effects,Angry, Page: 27,Duterte
Virus crisis adds pressure on slowing Chinese economy,Happy, Page: 27,Duterte
U.S. Fed watching global economy for signs of infection from virus,Afraid, Page: 27,Duterte
Philippines misses GDP growth target for 2019,Sad, Page: 27,Duterte
"Taal Volcano's economic impact minimal so far, says NEDA",Afraid, Page: 27,Duterte
Filipinos find it hard to move up the social ladder – WEF,Sad, Page: 27,Duterte
Hong Kong protest shoppers show their true colors,Happy, Page: 28,Duterte
Global economy faces fragile recovery beset by risks – World Bank,People are divided, Page: 28,Duterte
China inflation flattens as surge in pork prices slows,Inspired, Page: 28,Duterte
Foreign firms wary as China launches investment law,Angry, Page: 28,Duterte
"Inflation jumps to 2.5% in December, overall 2019 figure within target",Sad, Page: 28,Duterte
"60 years on, Africa still seeks right model for growth",Sad, Page: 28,Duterte
Hot money net outflows hit $345 million in November 2019,Sad, Page: 28,Duterte
"OFW remittances hit all-time high, but families still run out of cash – study",Sad, Page: 28,Duterte
China suspends planned tariffs on U.S. goods,Happy, Page: 28,Duterte
Key points in U.S.-China 'phase one' trade deal,Afraid, Page: 28,Duterte
China says 'phase one' trade deal reached with U.S.,Happy, Page: 29,Duterte
China coy on 'BIG' trade deal announced by Trump,People are divided, Page: 29,Duterte
Mexico ratifies modified North American trade deal,People are divided, Page: 29,Duterte
Japan business confidence drops for 4th straight quarter – Tankan survey,People are divided, Page: 29,Duterte
Indonesia hit with $5.2 billion in forest fire losses – World Bank,Angry, Page: 29,Duterte
Duterte's economic team proposes P4.64-trillion budget for 2021,Afraid, Page: 29,Duterte
Global slowdown spoils Duterte's 8% GDP growth dream,Sad, Page: 29,Duterte
"U.S., Mexico, Canada to sign deal finalizing trade agreement",Happy, Page: 29,Duterte
Poverty in Philippines falls in 2018,Happy, Page: 29,Duterte
"Unemployment, underemployment dip to 14-year low in October 2019",Happy, Page: 29,Duterte
